run_id,condition,seed_id,seed_bucket,repeat_index,total_turns,max_turns,collapsed_turns,collapse_rate,first_collapse_turn,early_stopped,has_collapse,seed_version,embedding_model,started_at,ended_at,filename
papera_phase3_baseline_HETERO_ROT_SEEDS_V2_argumentative_0_20260218T165409Z_rep0,HETERO_ROT,argumentative_0,argumentative,0,40,40,36,0.9,5,false,true,SEEDS_V2,sentence-transformers/all-MiniLM-L6-v2,2026-02-18T16:54:09Z,2026-02-18T17:16:23Z,papera_phase3_baseline_HETERO_ROT_SEEDS_V2_argumentative_0_20260218T165409Z_rep0_manifest.json
papera_phase3_baseline_HETERO_ROT_SEEDS_V2_argumentative_0_20260218T171628Z_rep1,HETERO_ROT,argumentative_0,argumentative,1,40,40,19,0.475,22,false,true,SEEDS_V2,sentence-transformers/all-MiniLM-L6-v2,2026-02-18T17:16:28Z,2026-02-18T17:37:38Z,papera_phase3_baseline_HETERO_ROT_SEEDS_V2_argumentative_0_20260218T171628Z_rep1_manifest.json
papera_phase3_baseline_HETERO_ROT_SEEDS_V2_argumentative_0_20260218T193527Z_rep2,HETERO_ROT,argumentative_0,argumentative,2,40,40,30,0.75,11,false,true,SEEDS_V2,sentence-transformers/all-MiniLM-L6-v2,2026-02-18T19:35:27Z,2026-02-18T19:54:10Z,papera_phase3_baseline_HETERO_ROT_SEEDS_V2_argumentative_0_20260218T193527Z_rep2_manifest.json
papera_phase3_baseline_HETERO_ROT_SEEDS_V2_argumentative_0_20260218T193532Z_rep3,HETERO_ROT,argumentative_0,argumentative,3,40,40,1,0.025,12,false,true,SEEDS_V2,sentence-transformers/all-MiniLM-L6-v2,2026-02-18T19:35:32Z,2026-02-18T19:58:53Z,papera_phase3_baseline_HETERO_ROT_SEEDS_V2_argumentative_0_20260218T193532Z_rep3_manifest.json
papera_phase3_baseline_HETERO_ROT_SEEDS_V2_argumentative_0_20260218T193532Z_rep4,HETERO_ROT,argumentative_0,argumentative,4,40,40,6,0.15,35,false,true,SEEDS_V2,sentence-transformers/all-MiniLM-L6-v2,2026-02-18T19:35:32Z,2026-02-18T19:48:13Z,papera_phase3_baseline_HETERO_ROT_SEEDS_V2_argumentative_0_20260218T193532Z_rep4_manifest.json
papera_phase3_baseline_HETERO_ROT_SEEDS_V2_argumentative_1_20260218T193540Z_rep0,HETERO_ROT,argumentative_1,argumentative,0,40,40,1,0.025,7,false,true,SEEDS_V2,sentence-transformers/all-MiniLM-L6-v2,2026-02-18T19:35:40Z,2026-02-18T19:54:15Z,papera_phase3_baseline_HETERO_ROT_SEEDS_V2_argumentative_1_20260218T193540Z_rep0_manifest.json
papera_phase3_baseline_HETERO_ROT_SEEDS_V2_argumentative_1_20260218T194834Z_rep1,HETERO_ROT,argumentative_1,argumentative,1,40,40,24,0.6,17,false,true,SEEDS_V2,sentence-transformers/all-MiniLM-L6-v2,2026-02-18T19:48:34Z,2026-02-18T20:04:11Z,papera_phase3_baseline_HETERO_ROT_SEEDS_V2_argumentative_1_20260218T194834Z_rep1_manifest.json
papera_phase3_baseline_HETERO_ROT_SEEDS_V2_argumentative_1_20260218T195416Z_rep2,HETERO_ROT,argumentative_1,argumentative,2,40,40,16,0.4,17,false,true,SEEDS_V2,sentence-transformers/all-MiniLM-L6-v2,2026-02-18T19:54:16Z,2026-02-18T20:10:17Z,papera_phase3_baseline_HETERO_ROT_SEEDS_V2_argumentative_1_20260218T195416Z_rep2_manifest.json
papera_phase3_baseline_HETERO_ROT_SEEDS_V2_argumentative_1_20260218T195421Z_rep3,HETERO_ROT,argumentative_1,argumentative,3,40,40,21,0.525,19,false,true,SEEDS_V2,sentence-transformers/all-MiniLM-L6-v2,2026-02-18T19:54:21Z,2026-02-18T20:09:08Z,papera_phase3_baseline_HETERO_ROT_SEEDS_V2_argumentative_1_20260218T195421Z_rep3_manifest.json
papera_phase3_baseline_HETERO_ROT_SEEDS_V2_argumentative_1_20260218T195859Z_rep4,HETERO_ROT,argumentative_1,argumentative,4,40,40,30,0.75,11,false,true,SEEDS_V2,sentence-transformers/all-MiniLM-L6-v2,2026-02-18T19:58:59Z,2026-02-18T20:20:49Z,papera_phase3_baseline_HETERO_ROT_SEEDS_V2_argumentative_1_20260218T195859Z_rep4_manifest.json
